Tag ID,EventID,Type,Start-Ping,Seconds,UTCMilliseconds,f1,f2,snr,RMS,ZeroPeak,PeakPeak,SEL,file_name,sec_since_file_start,sampling_rate,samp_since_file_start,sec_since_tagon,file_start_time,tagon_time,correction
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:36:52,0.65,72,11753.57,12408.75,2.31,51.05,62.95,68.97,49.22,Zica-20191012-144029005,10106.07,96000,970182912,82373.32,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:36:57,0.58,613,11674.16,12448.46,1.62,50.84,63.07,69.08,48.5,Zica-20191012-144029005,10111.61,96000,970714848,82378.86,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:37:00,0.65,365,11674.16,12369.05,1.74,50.8,62.05,68.07,48.97,Zica-20191012-144029005,10114.36,96000,970979040,82381.61,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:37:05,0.54,625,11634.45,12309.48,1.96,50.61,62.64,68.66,47.98,Zica-20191012-144029005,10119.62,96000,971484000,82386.87,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:37:08,0.63,450,11674.16,12408.75,1.85,50.96,65.32,71.33,49,Zica-20191012-144029005,10122.44,96000,971755200,82389.69,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:37:14,0.49,809,11634.45,12408.75,1.73,51.17,62.43,68.45,48.09,Zica-20191012-144029005,10127.8,96000,972269664,82395.05,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:37:16,0.54,597,11694.01,12349.19,2.04,50.67,62.42,68.44,48.04,Zica-20191012-144029005,10130.59,96000,972537312,82397.84,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:37:21,0.74,657,11634.45,12448.46,,,,,,Zica-20191012-144029005,10135.65,96000,973023072,82402.9,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:37:24,0.78,336,11574.89,12408.75,1.95,52,65.19,71.21,50.93,Zica-20191012-144029005,10138.33,96000,973280256,82405.58,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:37:29,0.8,676,11614.59,12508.02,1.68,51.41,68.13,74.15,50.45,Zica-20191012-144029005,10143.67,96000,973792896,82410.92,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:37:33,0.71,754,11594.74,12428.61,1.61,51.59,64.18,70.2,50.1,Zica-20191012-144029005,10146.75,96000,974088384,82414,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:37:38,0.71,948,11654.3,12428.61,1.8,50.89,62.24,68.26,49.4,Zica-20191012-144029005,10151.94,96000,974587008,82419.19,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:37:41,0.8,809,11634.45,12428.61,1.86,51.23,63.33,69.35,50.26,Zica-20191012-144029005,10154.8,96000,974861664,82422.05,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:37:46,0.76,3,11614.59,12349.19,1.9,50.97,62.77,68.79,49.8,Zica-20191012-144029005,10160,96000,975360288,82427.25,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:37:49,0.65,828,11555.03,12388.9,0.98,51.42,64.78,70.8,49.59,Zica-20191012-144029005,10162.82,96000,975631488,82430.07,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:37:54,0.63,296,11614.59,12369.05,2.25,51.52,62.34,68.35,49.57,Zica-20191012-144029005,10168.29,96000,976156416,82435.54,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:37:57,0.74,12,11674.16,12369.05,2.69,51.58,65.57,71.59,50.31,Zica-20191012-144029005,10171.01,96000,976417152,82438.26,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:38:02,0.8,42,11694.01,12428.61,3.05,52.06,63.99,70,51.09,Zica-20191012-144029005,10176.04,96000,976900032,82443.29,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:38:05,0.82,867,11594.74,12309.48,2.7,52.04,68.42,74.44,51.17,Zica-20191012-144029005,10178.86,96000,977171232,82446.11,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:38:10,0.87,247,11614.59,12329.34,1.98,51.49,63.36,69.38,50.91,Zica-20191012-144029005,10184.24,96000,977687712,82451.49,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:38:13,0.87,908,11634.45,12408.75,2.2,52.22,71.42,77.44,51.64,Zica-20191012-144029005,10186.9,96000,977943168,82454.15,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:38:18,0.82,376,11594.74,12428.61,2.33,52.6,66.05,72.07,51.74,Zica-20191012-144029005,10192.37,96000,978468096,82459.62,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:38:21,0.76,201,11614.59,12329.34,1.7,51.47,63.1,69.12,50.31,Zica-20191012-144029005,10195.2,96000,978739296,82462.44,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:38:26,0.94,345,11694.01,12249.92,2.17,50.48,64.75,70.76,50.24,Zica-20191012-144029005,10200.34,96000,979233120,82467.59,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:38:29,0.78,42,11634.45,12369.05,1.68,51.49,66.14,72.16,50.44,Zica-20191012-144029005,10203.04,96000,979492032,82470.29,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:38:34,0.94,436,11614.59,12349.19,2.5,51.77,68.53,74.55,51.55,Zica-20191012-144029005,10208.43,96000,980009856,82475.68,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:38:37,0.76,318,11555.03,12408.75,2.21,52.19,64.33,70.35,51.03,Zica-20191012-144029005,10211.31,96000,980286528,82478.56,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:38:42,0.78,547,11634.45,12448.46,2.71,52.34,67.44,73.46,51.28,Zica-20191012-144029005,10216.54,96000,980788512,82483.79,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:38:45,0.85,292,11495.47,12388.9,2.49,53.05,72.49,78.51,52.38,Zica-20191012-144029005,10219.29,96000,981052032,82486.54,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:38:51,0.69,760,11654.3,12369.05,2.51,51.28,61.96,67.98,49.68,Zica-20191012-144029005,10224.76,96000,981576960,82492,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:38:53,1.02,385,11614.59,12369.05,2.05,51.45,67.44,73.46,51.54,Zica-20191012-144029005,10227.38,96000,981828960,82494.63,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:38:59,0.78,725,11674.16,12488.17,2.46,52.11,68.65,74.67,51.04,Zica-20191012-144029005,10232.72,96000,982341600,82499.97,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:39:01,0.82,532,11674.16,12388.9,2.37,51.72,69.41,75.43,50.86,Zica-20191012-144029005,10235.53,96000,982611072,82502.78,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:39:07,0.87,748,11674.16,12408.75,2.28,51.41,64.89,70.91,50.83,Zica-20191012-144029005,10240.74,96000,983111808,82507.99,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:39:09,0.72,646,11614.59,12428.61,1.26,50.82,63.39,69.4,49.45,Zica-20191012-144029005,10243.64,96000,983390016,82510.89,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
